"Trader","Hypurrscan"
"y22","https://hypurrscan.io/address/0xd54921ccf100cc6a78acbbd4e55fd57c9b50ea7a#perps"
"ChillTRD","https://hypurrscan.io/address/0xd74281378363a0decf6e88c3af1f255099758afd#perps"
"Fundedfromsisterofvitalik","https://hypurrscan.io/address/0xd9e391abe558d10f7b9e5b99f3dd61cc37921782#perps"
"bmwball56","https://hypurrscan.io/address/0xda2ac5f5797670d0d7b9fc522f76bfa891db20fb#perps"
"vươngMC","https://hypurrscan.io/address/0xdac65d9157fa73a5f6ccabb69528930dabd1454b#perps"
"Joshua_Deuk","https://hypurrscan.io/address/0xdb08ac96cebf55e7435bb8b5a3bc4ba41a4b3d29#perps"
"0xprinterrr","https://hypurrscan.io/address/0xe3c5f195efb34d723543d8bd5bf85a910a22852e#perps"
"boblax","https://hypurrscan.io/address/0xe96bc9a6702006a30e4999a4dd559ad76d9a3b5e#perps"
"ForesightOracle","https://hypurrscan.io/address/0xe9ffe7698f46f96f980f2877e18c43f5b4165903#perps"
"Cbb0fe","https://hypurrscan.io/address/0xefd3ab65915e35105caa462442c9ecc1346728df#perps"
"Gem_Spotter_20","https://hypurrscan.io/address/0xf0371b9ccec90134cef996e7313be1c0b25aa697#perps"
"0xDQ","https://hypurrscan.io/address/0xf6e6c83ee7db137ed8dadd5d7bbc6b38220a6602#perps"
"whalewhale","https://hypurrscan.io/address/0xfad95b930336e53d4c881a2520e1544ee9b78bd8#perps"
"Smol(degen)","https://hypurrscan.io/address/0xfb187eeacb952079b99f1acf6d5e9a97d0c5892f#perps"
"rarepangolin","https://hypurrscan.io/address/0xfb7ce7b78cc7356664d42c43216ebb6c7e49b627#perps"
"pendle 4 alfafa","https://hypurrscan.io/address/0xcd81917ff5313d02d7da3d47a9afcd3f635c36e3#perps"
"pool 2 paulie","https://hypurrscan.io/address/0x50415b9d886892be314f5cbaf600c3a4b625cbe5#perps"
"random 1 | anthropic","https://hypurrscan.io/address/0x3ab77725ac1ae06aff19d90a33c2a0fe126b7789#perps"
"SmallCapScientist","https://hypurrscan.io/address/0x93f8e02c6cf992e262069d5f5bb9b80033a5ce77#perps"
